datum,profitloss
2020-11-04,-0.20118380017470372
2020-11-05,-2.4795644811248394
2020-11-06,-2.306128372344915
2020-11-09,-19.80775137704461
2020-11-10,-65.09213292465205
2020-11-11,-51.8421038661196
2020-11-12,-22.276161015563844
2020-11-13,-21.850194399475072
2020-11-16,-30.350923440048177
2020-11-17,-9.301291267425427
2020-11-18,-20.127124791450456
2020-11-19,168.9307104663468
2020-11-20,200.7925797776071
2020-11-23,216.0861900070496
2020-11-24,188.78300054827503
2020-11-25,221.7923747915687
2020-11-27,230.45972269297033
2020-11-30,272.7713680085602
2020-12-01,310.66836206613164
2020-12-02,339.0405071112024
2020-12-03,318.4433621598856
2020-12-04,304.89341447114964
2020-12-07,322.66022255690007
2020-12-08,307.04729080375694
2020-12-09,309.23407224842856
2020-12-10,278.56238976531984
2020-12-11,284.5431025800325
2020-12-14,326.4981104954951
2020-12-15,373.82118120087455
2020-12-16,369.2424140188904
2020-12-17,375.64889415931714
2020-12-18,360.1435769334947
2020-12-21,311.6366787108003
2020-12-22,308.941406521889
2020-12-23,316.8637201399232
2020-12-29,318.2432371254198
2020-12-30,321.1711402148286
2021-01-04,365.5269698388214
2021-01-05,347.22671632230015
2021-01-06,334.83852217588435
2021-01-07,391.0957277643928
2021-01-08,446.70016739127357
2021-01-11,486.9125152858966
2021-01-12,485.495063731434
2021-01-13,414.2984603651431
2021-01-14,392.9867379463502
2021-01-15,335.78603235096
2021-01-19,304.0036543243026
2021-01-20,343.7209860512354
2021-01-21,366.9758554839341
2021-01-22,422.8826058800609
2021-01-25,426.5540028895584
2021-01-26,427.5425794215658
2021-01-27,296.00023798874076
2021-01-28,263.18065060219106
2021-01-29,72.0538317837983
2021-02-01,77.47027688970383
2021-02-02,96.95438198809018
2021-02-03,104.99776373301282
2021-02-04,90.59676975623881
2021-02-05,93.66949783096129
2021-02-08,133.28647425572674
2021-02-09,156.832755174142
2021-02-10,150.63069050201221
2021-02-11,172.8631932092636
2021-02-12,202.89521264662548
2021-02-16,221.17008622719982
2021-02-17,161.47383189180084
2021-02-18,115.0133206423352
2021-02-19,140.45431435348561
2021-02-22,58.95673918342021
2021-02-23,-48.02465767939805
2021-02-24,4.473665496735066
2021-02-25,169.25724070841605
2021-02-26,110.58684787922019
2021-03-01,170.17156942341492
2021-03-02,171.25302590181641
2021-03-03,111.29758709177648
2021-03-04,13.935680320687283
2021-03-05,-60.21505471136331
2021-03-08,-36.77153516700682
2021-03-09,-6.957491448608465
2021-03-10,56.17574526655349
2021-03-11,144.92132032460316
2021-03-12,126.628234126894
2021-03-15,197.51311718515697
2021-03-16,251.87137075536535
2021-03-17,170.53524398083258
2021-03-18,120.3602546392872
2021-03-19,49.7450733205977
2021-03-22,116.96794759805121
2021-03-23,108.37618899909447
2021-03-24,68.63051011004612
2021-03-25,2.4648346186513947
2021-03-26,53.83643722622216
2021-03-29,166.8538351319195
2021-03-30,128.02971452032924
2021-03-31,189.9897012821411
2021-04-01,295.04047760574156
2021-04-06,350.0837849623881
2021-04-07,351.09464581878774
2021-04-08,408.18497227645435
2021-04-09,402.7936259039641
2021-04-12,325.42967740016866
2021-04-13,332.2498135695773
2021-04-14,332.63017601606066
2021-04-15,428.13903385927756
2021-04-16,455.99152608697773
2021-04-19,425.5142631985341
2021-04-20,342.8602411168886
2021-04-21,347.96747617718665
2021-04-22,383.2550184691379
2021-04-23,411.7217743820079
2021-04-26,654.7165548281387
2021-04-27,701.4654505312149
2021-04-28,695.3782545821743
2021-04-29,624.6771394763667
2021-04-30,579.452397188193
2021-05-04,358.76252799717304
2021-05-05,372.459634698488
2021-05-06,311.80306484448363
2021-05-07,354.0720455517388
2021-05-10,288.39586422678167
2021-05-11,126.54228400420644
2021-05-12,130.17576177751513
2021-05-13,20.57191088705295
2021-05-14,69.19090819542205
2021-05-17,98.90786912135636
2021-05-18,118.81885130939273
2021-05-19,46.02838347893177
2021-05-20,156.4025948944615
2021-05-21,238.73339904464237
2021-05-25,300.3392689724974
2021-05-26,343.7670303684598
2021-05-27,491.89403953333624
2021-05-28,597.6005783596473
2021-06-01,629.1391403420653
2021-06-02,616.4931674871103
2021-06-03,605.7428060077151
2021-06-04,632.5749689425653
2021-06-07,653.0173272850067
2021-06-08,697.5826775717433
2021-06-09,681.0187526039696
2021-06-10,674.9780227795974
2021-06-11,760.1306566389811
2021-06-14,756.4321607066082
2021-06-15,766.0024468310763
2021-06-16,766.0044430080249
2021-06-17,836.9943777460119
2021-06-18,884.6227080785621
2021-06-21,790.7673968694207
2021-06-22,826.578318560635
2021-06-23,887.7650322663948
2021-06-24,934.9637823481568
2021-06-25,966.7364603539037
2021-06-28,1041.3054252074637
2021-06-29,1115.2012634727225
2021-06-30,1253.5587950394734
2021-07-01,1345.080940608388
2021-07-02,1371.3729418963733
2021-07-06,1400.0729773888781
2021-07-07,1357.840340531513
2021-07-08,1164.0165713093888
2021-07-09,1209.31081275396
2021-07-12,1267.1674195874616
2021-07-13,1313.6651857307857
2021-07-14,1273.2246984722094
2021-07-15,1168.6486626522137
2021-07-16,1075.4249492988054
2021-07-19,929.8200633728599
2021-07-20,965.9730126666155
2021-07-21,1108.476483680945
2021-07-22,1224.8813663408728
2021-07-23,1297.7109667031486
2021-07-26,1409.3569769034107
2021-07-27,1373.898037883077
2021-07-28,1462.7348467643935
2021-07-29,1693.962103707911
2021-07-30,1747.3680607068882
2021-08-02,1883.2216096539873
2021-08-03,1978.643449455908
2021-08-04,2226.467897205395
2021-08-05,2146.304582632335
2021-08-06,2126.28709749613
2021-08-09,2054.917490185343
2021-08-10,2015.3375974301157
2021-08-11,2018.0671981989258
2021-08-12,1977.4740566435662
2021-08-13,2019.4907402989948
2021-08-16,1965.8503850974012
2021-08-17,1920.3008058349592
2021-08-18,1891.354660805389
2021-08-19,1763.6832380016426
2021-08-20,1814.9573421165014
2021-08-23,1958.6584789474482
2021-08-24,2079.068099897295
2021-08-25,2090.543740984591
2021-08-26,2057.088578108644
2021-08-27,2186.31236701582
2021-08-31,2277.844287001988
2021-09-01,2319.3587830968927
2021-09-02,2303.5307840845926
2021-09-03,2277.519821541828
2021-09-07,2319.2048951199026
2021-09-08,2212.8077236149884
2021-09-09,2163.4742549954826
2021-09-10,2173.4110742098096
2021-09-13,2088.624349289906
2021-09-14,2135.289898021443
2021-09-15,2072.7748901591212
2021-09-16,2121.41145660138
2021-09-17,2117.143060407421
2021-09-20,1825.3322653722978
2021-09-21,1887.227131929853
2021-09-22,1963.5492616628676
2021-09-23,2107.541504490169
2021-09-24,2091.241835458059
2021-09-27,2306.7304441743695
2021-09-28,2100.4242394999433
2021-09-29,1956.4342010956661
2021-09-30,2008.334398763323
2021-10-01,1827.1550095351558
2021-10-04,1753.401594574323
2021-10-05,1790.2007061567006
2021-10-06,1749.2008157853443
2021-10-07,2066.1667142369556
2021-10-08,2058.8101417203843
2021-10-11,2022.4640674962302
2021-10-12,1974.551329187901
2021-10-13,2075.479092901529
2021-10-14,2309.9418137719417
2021-10-15,2432.897424485165
2021-10-18,2492.43699915048
2021-10-19,2627.7863483193523
2021-10-20,2664.1023656472976
2021-10-21,2666.97936904306
2021-10-22,2733.5125972150913
2021-10-25,2778.1197944219234
2021-10-26,2990.4474327768603
2021-10-27,3038.891806863255
2021-10-28,2967.448164112162
2021-10-29,2993.569166695974
2021-11-01,3052.178816937022
2021-11-02,3243.2518235115426
2021-11-03,3350.8179259181948
2021-11-04,3713.61405104751
